,Development_Status_Origin,Region_Destination,SIDs_Destination,Development_Status_Destination,Institution_Type_Layer1,Institution_Type_Layer2,Domestic_International,Instrument,Use,Sector,Sub_Sector,Year,Value
0,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,Domestic,Balance sheet financing (debt portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.638005721
1,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,Domestic,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.097377836
2,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,Domestic,Project-level market rate debt,Mitigation,Waste,Other/Unspecified,2023,0.008647722
3,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,Domestic,Project-level market rate debt,Dual benefit,"Agriculture, Forestry, Other land uses and Fisheries",Forestry,2023,0.00056154
4,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,Domestic,Project-level market rate debt,Dual benefit,Water & wastewater,Other/Unspecified,2023,0.000336924
5,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,"Agriculture, Forestry, Other land uses and Fisheries",Forestry,2023,0.003927564
6,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,"Agriculture, Forestry, Other land uses and Fisheries",Unspecified / Multiple,2023,0.028146006
7,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.351356525
8,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,Waste,Other/Unspecified,2023,0.012432343
9,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Dual benefit,"Agriculture, Forestry, Other land uses and Fisheries",Forestry,2023,0.038007138
10,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Dual benefit,Water & wastewater,Other/Unspecified,2023,0.004179577
11,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,Domestic,Balance sheet financing (equity portion),Mitigation,Buildings & infrastructure,HVAC & Water Heaters,2023,0.023037751
12,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,Domestic,Balance sheet financing (equity portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.498822264
13,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,Domestic,Balance sheet financing (equity portion),Mitigation,Transport,Private Road Transport,2023,0.011059621
14,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,Domestic,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.007277007
15,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,Domestic,Project-level equity,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,1.33e-05
16,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,Domestic,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.096742642
17,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,Domestic,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.016979683
18,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,Domestic,Project-level market rate debt,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,3.11e-05
