Development_Status_Origin,Region_Destination,SIDs_Destination,Development_Status_Destination,Institution_Type_Layer1,Institution_Type_Layer2,Domestic_International,Instrument,Use,Sector,Sub_Sector,Year,Value
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,Domestic,Balance sheet financing (debt portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.638005721
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,Domestic,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.097377836
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,Domestic,Project-level market rate debt,Mitigation,Waste,Other/Unspecified,2023,0.008647722
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,Domestic,Project-level market rate debt,Dual benefit,"Agriculture, Forestry, Other land uses and Fisheries",Forestry,2023,0.00056154
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,Domestic,Project-level market rate debt,Dual benefit,Water & wastewater,Other/Unspecified,2023,0.000336924
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,"Agriculture, Forestry, Other land uses and Fisheries",Forestry,2023,0.003927564
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,"Agriculture, Forestry, Other land uses and Fisheries",Unspecified / Multiple,2023,0.028146006
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.351356525
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,Waste,Other/Unspecified,2023,0.012432343
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Dual benefit,"Agriculture, Forestry, Other land uses and Fisheries",Forestry,2023,0.038007138
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Dual benefit,Water & wastewater,Other/Unspecified,2023,0.004179577
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,Domestic,Balance sheet financing (equity portion),Mitigation,Buildings & infrastructure,HVAC & Water Heaters,2023,0.023037751
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,Domestic,Balance sheet financing (equity portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.498822264
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,Domestic,Balance sheet financing (equity portion),Mitigation,Transport,Private Road Transport,2023,0.011059621
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,Domestic,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.007277007
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,Domestic,Project-level equity,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.0000133
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,Domestic,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.096742642
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,Domestic,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.016979683
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,Domestic,Project-level market rate debt,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.0000311
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,International,Balance sheet financing (equity portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.080103972
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,International,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.047701298
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,International,Project-level equity,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.000251932
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,International,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.102350458
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.111303028
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.000587841
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.00417392
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,International,Project-level market rate debt,Mitigation,Waste,Other/Unspecified,2023,0.009334608
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Funds,Domestic,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.003014268
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Funds,Domestic,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.001243895
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Funds,International,Balance sheet financing (equity portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.005353776
