,STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,SECTOR,Institutional sector,PRICE_BASE,Price base,UNIT_MEASURE,Unit of measure,TIME_PERIOD,OBS_VALUE,BASE_PER,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
0,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUS,Australia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2001,848.19,2015,6,Millions,2,Two
1,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUS,Australia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2002,803.877,2015,6,Millions,2,Two
2,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUS,Australia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2003,863.306,2015,6,Millions,2,Two
3,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUS,Australia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2004,965.066,2015,6,Millions,2,Two
4,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUS,Australia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2005,1062.602,2015,6,Millions,2,Two
5,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUS,Australia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2006,1113.816,2015,6,Millions,2,Two
6,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUS,Australia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2007,1231.849,2015,6,Millions,2,Two
7,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUS,Australia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2008,1252.159,2015,6,Millions,2,Two
8,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUS,Australia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2009,1613.251,2015,6,Millions,2,Two
9,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUS,Australia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2010,1311.514,2015,6,Millions,2,Two
10,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUS,Australia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2011,1541.744,2015,6,Millions,2,Two
11,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUS,Australia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2012,1768.207,2015,6,Millions,2,Two
12,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUS,Australia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2013,1853.386,2015,6,Millions,2,Two
13,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUS,Australia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2014,2007.588,2015,6,Millions,2,Two
14,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUS,Australia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2015,1739.736,2015,6,Millions,2,Two
15,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUS,Australia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2016,1645.664,2015,6,Millions,2,Two
16,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUS,Australia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2017,1765.455,2015,6,Millions,2,Two
17,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUS,Australia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2018,1918.898,2015,6,Millions,2,Two
18,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUS,Australia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2019,1804.733,2015,6,Millions,2,Two
19,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUT,Austria,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2001,458.939,2015,6,Millions,2,Two
20,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUT,Austria,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2002,615.668,2015,6,Millions,2,Two
21,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUT,Austria,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2003,624.47,2015,6,Millions,2,Two
22,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUT,Austria,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2004,669.047,2015,6,Millions,2,Two
23,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUT,Austria,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2005,833.76,2015,6,Millions,2,Two
24,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUT,Austria,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2006,875.227,2015,6,Millions,2,Two
25,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUT,Austria,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2007,775.725,2015,6,Millions,2,Two
26,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUT,Austria,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2008,820.417,2015,6,Millions,2,Two
27,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUT,Austria,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2009,887.169,2015,6,Millions,2,Two
28,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUT,Austria,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2010,862.473,2015,6,Millions,2,Two
29,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUT,Austria,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2011,750.401,2015,6,Millions,2,Two
30,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUT,Austria,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2012,825.098,2015,6,Millions,2,Two
31,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUT,Austria,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2013,945.094,2015,6,Millions,2,Two
