,Country,ISO3,Year,Environmental Taxes,Taxes on Energy (including fuel for transport),Taxes on Pollution,Taxes on Resources,Taxes on Transport (excluding fuel for transport)
0,Albania,ALB,2015,43993138348.27,37741109827.0,1782068792.97,32546493.0,4437413235.3
1,Albania,ALB,2016,47813792742.97,40945615341.0,1879969501.87,52524339.0,4935683561.1
2,Albania,ALB,2017,47548576614.95,40400044445.82,1941324188.75,61861356.38,5145346624.0
3,Albania,ALB,2018,51145591824.17,43521821908.6,2226251450.57,56011991.0,5341506474.0
4,Albania,ALB,2019,53415648050.56,45165295551.0,2625011287.71,58777099.5,5566564112.35
10,"Andorra, Principality of",AND,2015,4600367270000.0,0.0,0.0,0.0,4600367270000.0
11,"Andorra, Principality of",AND,2016,4616888784305.39,0.0,0.0,0.0,4616888784305.39
12,"Andorra, Principality of",AND,2017,5043868510000.0,0.0,0.0,0.0,5043868510000.0
13,"Andorra, Principality of",AND,2018,5283534540000.0,0.0,0.0,0.0,5283534540000.0
14,"Andorra, Principality of",AND,2019,5675649250000.0,0.0,0.0,0.0,5675649250000.0
15,Antigua and Barbuda,ATG,2000,19440000.0,0.0,0.0,0.0,19440000.0
16,Antigua and Barbuda,ATG,2001,19240000.0,0.0,0.0,0.0,19240000.0
17,Antigua and Barbuda,ATG,2002,19340000.0,0.0,0.0,0.0,19340000.0
18,Antigua and Barbuda,ATG,2003,18840000.0,0.0,0.0,0.0,18840000.0
19,Antigua and Barbuda,ATG,2004,20040000.0,0.0,0.0,0.0,20040000.0
20,Antigua and Barbuda,ATG,2005,19740000.0,0.0,0.0,0.0,19740000.0
21,Antigua and Barbuda,ATG,2006,20240000.0,0.0,0.0,0.0,20240000.0
22,Antigua and Barbuda,ATG,2007,22440000.0,0.0,0.0,0.0,22440000.0
23,Antigua and Barbuda,ATG,2008,24530000.0,0.0,0.0,0.0,24530000.0
24,Antigua and Barbuda,ATG,2009,17410000.0,0.0,0.0,0.0,17410000.0
25,Antigua and Barbuda,ATG,2010,19570000.0,11610000.0,0.0,0.0,7970000.0
26,Antigua and Barbuda,ATG,2011,7720000.0,0.0,0.0,0.0,7720000.0
27,Antigua and Barbuda,ATG,2012,8670000.0,1510000.0,0.0,0.0,7170000.0
28,Antigua and Barbuda,ATG,2013,23220000.0,13800000.0,0.0,0.0,9420000.0
29,Antigua and Barbuda,ATG,2014,7900000.0,560000.0,0.0,0.0,7350000.0
30,Antigua and Barbuda,ATG,2015,13300000.0,5360000.0,0.0,0.0,7940000.0
31,Antigua and Barbuda,ATG,2016,9060000.0,1900000.0,0.0,0.0,7150000.0
32,Antigua and Barbuda,ATG,2017,12460000.0,4860000.0,0.0,0.0,7600000.0
33,Antigua and Barbuda,ATG,2018,13650000.0,4380000.0,0.0,0.0,9270000.0
34,Antigua and Barbuda,ATG,2019,13120000.0,4000000.0,0.0,0.0,9130000.0
55,Argentina,ARG,2000,4536060000.0,3682510000.0,0.0,0.0,853550000.0
56,Argentina,ARG,2001,4407160000.0,3627450000.0,0.0,0.0,779720000.0
57,Argentina,ARG,2002,5363260000.0,4707510000.0,0.0,0.0,655750000.0
58,Argentina,ARG,2003,6046670000.0,5176230000.0,0.0,0.0,870440000.0
59,Argentina,ARG,2004,6676490000.0,5644840000.0,0.0,0.0,1031650000.0
60,Argentina,ARG,2005,7589870000.0,6300460000.0,0.0,0.0,1289410000.0
61,Argentina,ARG,2006,8638360000.0,7062360000.0,0.0,0.0,1576000000.0
62,Argentina,ARG,2007,9924510000.0,8003400000.0,0.0,0.0,1921110000.0
63,Argentina,ARG,2008,12772700000.0,10249430000.0,0.0,0.0,2523270000.0
64,Argentina,ARG,2009,15416440000.0,12152740000.0,0.0,0.0,3263700000.0
65,Argentina,ARG,2010,19485080000.0,15859560000.0,0.0,0.0,3625520000.0
66,Argentina,ARG,2011,23699140000.0,18747930000.0,0.0,0.0,4951210000.0
67,Argentina,ARG,2012,32957980000.0,26395470000.0,0.0,0.0,6562510000.0
68,Argentina,ARG,2013,40801220000.0,31557250000.0,0.0,0.0,9243970000.0
69,Argentina,ARG,2014,57223640000.0,45097510000.0,0.0,0.0,12126130000.0
70,Argentina,ARG,2015,74191640000.0,57068690000.0,0.0,0.0,17122950000.0
