,Country,Year,Electricity production from coal sources (% of total),"Electricity production from oil, gas and coal sources (% of total)",Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),Renewable electricity output (% of total electricity output),"Electricity production from renewable sources, excluding hydroelectric (kWh)","Electricity production from renewable sources, excluding hydroelectric (% of total)",Renewable energy consumption (% of total final energy consumption),Adjusted savings: carbon dioxide damage (current US$),Adjusted savings: carbon dioxide damage (% of GNI),Adjusted savings: particulate emission damage (current US$),Adjusted savings: particulate emission damage (% of GNI),GDP (current US$),GDP (current LCU),GDP growth (annual %),"Population, total",Total greenhouse gas emissions including LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),Total greenhouse gas emissions excluding LULUCF (% change from 1990),Total spending climate protection
170,Australia,2001,83.1517795534979,91.7501725020589,7.53800609878247,7.68847241079974,0.0,0.909920537761257,8.24987201460146,1599100000.0,0.711865915818995,8.4,6707780494.13106,1.81912199340186,107135838.322601,0.0290547909170119,379629301675.108,707402000000.0,2.02510553454593,19274701.0,610.2984,556.2184,28.8574333786034,360.4081,0.404805658185865,29.7775071539863,20.8393122771678,7630630000.0
169,Australia,2002,77.0486256069961,92.0674122739558,7.05499769286546,13.9438816989299,0.0,1.07490496802971,7.93263167146404,1997100000.0,0.87763397859858,8.7,7121381385.54507,1.85041610809792,106461231.578463,0.0276628321298161,395788696012.059,756446000000.0,3.97958568067362,19495210.0,619.2259,564.8485,28.9737068746631,368.6209,0.398184090544874,32.7348122499435,22.7142149213147,9515331000.0
168,Australia,2003,77.4132480684052,91.4697330640121,7.46822945444335,13.3042273167815,0.0,0.752257678825373,8.53031222543274,2345100000.0,1.06208277098939,7.2,7408721963.59212,1.63062825499929,118843986.158281,0.0261570568741491,467739079790.332,803108000000.0,3.09076190489348,19720737.0,608.4748,555.3444,28.1604282841965,368.115,0.385716052825307,32.5526453095524,20.6494344181645,9520841000.0
167,Australia,2004,77.5812707390318,91.7245243702776,7.14911090293039,13.5352005393243,0.0,0.608053091921518,8.27551940604288,2573100000.0,1.1264085031125,6.7,8070659612.286,1.35222310214753,146303565.904952,0.0245128739467682,614659980082.515,864089000000.0,4.22428481359962,19932722.0,598.3452,575.3785,28.8660274296707,381.942,0.383983615529014,37.5315389343576,25.0018737946612,10693415000.0
166,Australia,2005,79.4226984474087,91.0754428165318,6.82790290837525,10.4102339820687,0.0,1.24251038705445,8.92460091843429,4794100000.0,2.09669801005904,6.7,8610604983.45238,1.28599605561151,163108087.310668,0.0243602345390319,695692898676.56,925442000000.0,3.15416753184221,20176844.0,628.3905,578.2469,28.6589369477209,384.0857,0.374331724646073,38.3034528899152,25.6250381548043,11180068000.0
165,Australia,2006,79.5863935059915,90.6605677962462,6.88442211055276,9.76076966026715,0.0,1.31340462998754,9.33943220375381,5716000000.0,2.45501009320105,6.8,9208437228.81601,1.28100106685679,171512095.579831,0.0238593337780569,748417562769.636,999585000000.0,2.75534610557227,20450966.0,662.7015,583.3082,28.5222810501959,390.1513,0.370047205586835,40.4875837332376,26.7246134497396,10905891000.0
164,Australia,2007,76.9971664397899,91.2850545121053,5.97021677352492,13.0981217896256,0.0,1.18976628268978,8.71494548789465,6674000000.0,2.74472871436973,7.0,9934315466.89062,1.21688003190737,193184738.254413,0.0236636989468009,855007458585.224,1089023000000.0,3.77332171303566,20827622.0,645.8277,592.7062,28.4576991074641,400.6653,0.366201470405901,44.2735161532276,28.7663435629125,13108829000.0
163,Australia,2008,75.7886860098429,91.8288305697288,4.95721997689344,14.3717031012947,0.0,1.66844145859116,8.17116943027123,7817000000.0,3.21394945337779,6.8,10438270536.4879,1.03088788785848,231394609.955755,0.0228526267723452,1056112427190.38,1179629000000.0,3.58626695226046,21249199.0,632.3046,591.3833,27.8308514123285,404.2851,0.35671708106254,45.5769513989837,28.4789414809039,12080056000.0
162,Australia,2009,74.8797156696029,92.4770915772761,4.78276287263965,16.1475165416139,0.0,1.44985936605927,7.52290842272387,6800000000.0,2.74014555008422,7.1,10916912713.2405,1.21828650600076,201494091.253004,0.0224859847156876,928762122698.05,1261441000000.0,1.89255581922549,21691653.0,632.4858,599.4883,27.636819563728,410.2594,0.355264861565322,47.7282064928345,30.2397653335604,15449622000.0
161,Australia,2010,71.324818630497,91.3845033463811,5.36252132303759,17.6461741226386,0.0,2.41351059324549,8.61549665361888,8219000000.0,3.25297533058129,8.2,11075212379.1341,1.00311205503699,243215845.169348,0.0220287194424398,1148838233480.72,1304322000000.0,2.21998026536549,22031750.0,643.8945,604.604,27.4423956335743,415.2731,0.351796667460216,49.5335640517183,31.3511591130836,15158474000.0
160,Australia,2011,68.0198986946897,89.6067526370103,6.61990027020001,19.2988191550538,0.0,2.28803478726673,10.3928534854226,9579000000.0,3.77295321522258,8.3,11525092340.0804,0.858579971674956,288273691.3888,0.0214754043164139,1398610616772.97,1418559000000.0,2.40708018291988,22340024.0,616.0435,610.0299,27.3065910761779,412.8096,0.341489791833136,48.64649495179,32.529944324944,17593613000.0
159,Australia,2012,68.6119521912351,89.4733067729084,5.61075697211155,19.3513944223108,0.0,1.50996015936255,10.5266932270916,12339000000.0,4.91593625498008,8.3,12023176721.5549,0.801615649453169,306351174.484092,0.020425208859697,1547532281116.4,1500738000000.0,3.91670942454073,22733465.0,594.3439,613.3936,26.9819668933003,413.3193,0.329024499015215,48.8300302147222,33.2607133802408,19491578000.0
158,Australia,2013,63.7968006605502,86.8294794560081,7.32296814689225,20.4634272452894,0.0,2.56925155016854,13.1701197247173,14588000000.0,5.84715157782507,9.2,12292697767.5994,0.799691682584541,311263285.354032,0.0202489856252415,1577123329410.88,1537271000000.0,2.60219339436559,23128129.0,600.8677,609.3944,26.3486250876584,405.6523,0.31473123721749,46.0692594458366,32.39188096179,19713068000.0
157,Australia,2014,61.392428066633,85.3831398283695,7.43907117617365,21.966279656739,0.0,2.02443210499748,14.6168601716305,17774000000.0,7.17778899545684,9.3,12513063572.308,0.875507599839358,293467561.579549,0.0205331874951731,1468265356427.76,1599333000000.0,2.59528411594042,23475686.0,580.176,600.0331,25.5597685196505,396.2575,0.299664987175763,42.6863340226558,30.3581239806828,21329031000.0
156,Australia,2015,63.1332652712618,86.6746646221562,5.34101878592625,20.8405003754007,0.0,2.70089897549368,13.3253353778438,20099000000.0,7.98431659191756,9.4,13137170576.1985,0.992850232407107,272676489.770613,0.02060770351351,1351296372254.31,1624165000000.0,2.19016928695221,23815995.0,570.4015,602.0584,25.2795820623913,400.5424,0.296413435441842,44.229261721573,30.7981235548698,18372619000.0
155,Australia,2016,63.6138825930166,85.4164232695438,5.9653714045377,19.6314383406937,0.0,2.17110233583351,14.5835767304562,22130000000.0,8.61820532591848,9.6,13825588932.9012,1.17350167904529,230392777.07379,0.0195555004599189,1206836962281.84,1657914000000.0,2.7593859723839,24190907.0,522.7783,603.848,24.9617759267976,408.5061,0.294189003126587,47.0968696741196,31.1869169375612,18067977000.0
154,Australia,2017,62.722407171287,84.3211421971949,6.31091854016409,19.5555538330963,0.0,2.04318119281166,15.6784702494681,24171000000.0,9.36755170930399,9.9,14561235979.1685,1.12833137657324,244508819.459928,0.0189466727440038,1325582658156.54,1757655000000.0,2.27959179820343,24592588.0,562.9167,613.4302,24.9437025497276,410.8371,0.289273438235432,47.9362275275528,33.268664787151,20902842000.0
153,Australia,2018,60.4123253248345,82.8983053444472,6.13661436626624,20.6396328757048,0.0,1.84634714390782,17.0970979406717,28613000000.0,10.9604835744055,9.8,15164917363.0418,1.09605661782509,269379379.241776,0.0194696116210383,1427809041019.44,1842045000000.0,2.87846971467883,24963258.0,533.7263,611.3213,24.4888427624311,409.2067,0.280063906807422,47.3491451404925,32.8105029829725,24127743000.0
152,Australia,2019,58.4427291251619,80.2955012006393,6.04751047245347,19.9885617325566,0.0,1.86421034292077,19.7037412982055,36056000000.0,13.656230825752,10.3,15762276197.8049,1.17128862921411,266570490.526378,0.0198087497338142,1392723834562.64,1947319000000.0,2.17154505737176,25334826.0,526.8874,609.1698,24.0447595732451,407.8604,0.273209619745538,46.8643628676151,32.3430862625542,24137191000.0
151,Belgium,2001,15.9907793688378,37.8446774658298,2.05960837373623,19.769233660315,58.0661730622267,2.08466443667706,2.85388556896055,634000000.0,0.794277195224314,1.6,2296605553.9737,0.952258187380385,196486041.952043,0.0814704300575514,236746141604.37,264334900000.0,1.09960362419645,10286570.0,149.7815,151.3759,14.7158771096682,125.934,0.338676199233848,8.74321941548382,7.70283230973265,8505447000.0
150,Belgium,2002,15.426043938637,38.3823368141442,1.81554545565317,21.7719236252422,57.707538778345,1.18436925026502,2.76352825061838,778000000.0,0.947982794965212,1.7,2233933629.42293,0.849892763820515,200698732.893545,0.0763551783936538,258383599375.177,273255900000.0,1.70689430349601,10332785.0,141.3187,143.518,13.889575753294,118.4934,0.313318073459403,2.31830796676584,2.11199462680791,9051349000.0
149,Belgium,2003,13.7161762968215,40.4395604395604,1.5550041356493,25.5334987593052,55.9836937256292,1.18988538343377,2.67162944582299,945000000.0,1.1166253101737,1.9,2426987972.61285,0.748709714917751,246702480.158451,0.0761060811480174,318082528506.588,281200200000.0,1.03795518162204,10376133.0,145.1036,147.2102,14.1873856088776,123.3716,0.322865718906152,6.53060308129103,4.73896759578112,9373718000.0
148,Belgium,2004,13.6337727110794,39.4216838855243,1.90832442702767,23.7976487353046,56.1833511459447,1.99026243914024,3.3085263032894,1179110000.0,1.40020187626173,2.0,2515558864.00503,0.671995800826545,265551677.262201,0.0709383567111346,369214712443.206,296819700000.0,3.57120671942319,10421137.0,144.2562,146.0974,14.0193339747861,121.9811,0.308219596209844,5.32991504948683,3.94721863313734,11877215000.0
147,Belgium,2005,12.2473037956954,39.3669172230263,1.87216956907419,25.088706288809,55.5523133666371,2.03090713852187,3.99451421634997,1818340000.0,2.12234464727578,2.5,2573479510.11789,0.658965115501319,291828313.146622,0.0747255524371396,385714762230.039,310037600000.0,2.32173792911834,10478617.0,141.165,143.0646,13.6530040176103,119.1447,0.294221578950973,2.8807014332269,1.78940388304201,11344252000.0
146,Belgium,2006,10.8952912386064,38.5153747029685,1.92464563112535,25.9921737382813,55.1444075330725,1.62790972608084,4.99038859399198,2593220000.0,3.06574296286663,2.9,2664509693.95303,0.643397560481703,285049802.396929,0.068830805117427,408259840868.823,325151500000.0,2.55234087322462,10547958.0,137.6803,139.5676,13.2317174565921,116.1913,0.279787189961544,0.330459050536835,-0.69868573087366,11848051000.0
145,Belgium,2007,9.45381489637012,38.368027967583,1.91028580508956,27.9914190370253,54.7399605003292,0.922794034187646,5.42542734557672,3096910000.0,3.51514154048716,3.4,2693532127.80698,0.564122670989061,331257616.310542,0.0693772795094589,470922156309.453,343618900000.0,3.67692462515802,10625700.0,135.2494,136.8457,12.8787468119747,113.0234,0.262506751202047,-2.40500273727513,-2.63529743236551,11586528000.0
144,Belgium,2008,8.57237644995794,37.6189291342315,2.08177822012109,28.56550433062,53.9911610327137,0.481048353653479,6.82941741015889,4006960000.0,4.7476391900378,4.0,2869759512.12503,0.541555160545305,361940753.787888,0.0683021982146316,517328087920.078,351743100000.0,0.446905130727231,10709973.0,137.1341,138.6669,12.9474556098321,114.3817,0.264479549309832,-1.23211920358246,-1.33952711355991,12881242000.0
143,Belgium,2009,6.75235515392124,39.1388745709178,1.92689426757181,32.0794446333198,51.7881622670893,0.307074783676782,7.53211673228562,5111010000.0,5.60522246471382,4.9,2752633880.48819,0.559204632448288,354817338.051393,0.0720820522183356,485014525992.461,347734900000.0,-1.90644105515335,10796493.0,129.8368,131.2146,12.1534464941532,107.4038,0.253171435954722,-7.25749210334983,-6.64178339888553,14579971000.0
142,Belgium,2010,6.29432717817544,39.3218404168737,1.76304579902546,32.5983785897748,50.6759399211492,0.429134648923464,8.44179729201239,6318700000.0,6.67875149298693,6.2,3049870084.53279,0.623937705455658,349181216.710937,0.0714349533272701,481556503720.001,363242400000.0,2.71031150254662,10895586.0,139.0953,139.624,12.8147306624903,114.977,0.263871195132864,-0.718081386011049,-0.658557548367267,14244767000.0
