economy_Time,Energy intensity level of primary energy (MJ/$2017 PPP GDP),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Access to electricity (% of population),Electricity production from coal sources (% of total),"Electricity production from oil, gas and coal sources (% of total)",Electricity production from hydroelectric sources (% of total),Electric power transmission and distribution losses (% of output),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),Renewable electricity output (% of total electricity output),"Electricity production from renewable sources, excluding hydroelectric (kWh)","Electricity production from renewable sources, excluding hydroelectric (% of total)",Renewable energy consumption (% of total final energy consumption),GDP per unit of energy use (PPP $ per kg of oil equivalent),GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),"Energy imports, net (% of energy use)",Alternative and nuclear energy (% of total energy use),Fossil fuel energy consumption (% of total),"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",Combustible renewables and waste (% of total energy),Electric power consumption (kWh per capita),Energy use (kg of oil equivalent per capita),Unnamed: 0_y,"Net official flows from UN agencies, UNEP (current US$)",Adjusted savings: carbon dioxide damage (current US$),Adjusted savings: carbon dioxide damage (% of GNI),Adjusted savings: particulate emission damage (current US$),Adjusted savings: particulate emission damage (% of GNI),GDP (current US$),GDP (current LCU),GDP growth (annual %),"Population, total",Unnamed: 0,Disaster risk reduction progress score (1-5 scale; 5=best),"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",Total greenhouse gas emissions including LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),Methane (CH4) emissions from Agriculture (Mt CO2e),Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Waste (Mt CO2e),Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),F-gases emissions from Industrial Processes (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (% change from 1990)
ZWE_2019,14.35,28.3,85.4,46.7,48.2232291915097,48.2232291915097,49.6661101836394,18.3877891724302,0.0,0.0,0.0,68.8452182208443,1608360000.0,19.1791080372049,81.0,7.79117532854884,7.99388724905244,21.2001624097355,5.69,0.0,125.095584769292,46.6958346456394,520.778492142944,412.165419523265,0,,479560117.660427,2.23177479456426,347206593.645938,1.6158285388407,25715657177.4682,84913100.0,-6.33244975108572,15271368.0,251,,,43.6136,28.3694,1.85768557211116,7.912,0.0623,1.1786,0.2442,1.6118,0.9327,37.9634,-28.053,15.2442,5.1501,0.0,11.1692,0.731381759643275,4.9028,0.539033875792607,0.221980361714951,2.2368,,-35.8412747649164,0.4795,-17.4059625014557
ZWE_2018,13.64,26.4,85.4,45.4,44.1135660155833,44.1135660155833,53.8798164158395,20.7065855480841,0.0,0.0,0.0,63.0333013128402,857590000.0,9.15348489700075,79.7,5.87275735466216,8.02601353635541,23.8686608070058,6.49,0.0,124.594855898299,43.4760421238951,641.659569633798,445.175095167118,1,,485032875.545658,1.45033143183844,520956663.478081,1.55774971504342,34156057417.3285,27859600.0,5.00992138188113,15034452.0,252,,,45.1517,29.9075,1.98926439088036,8.2039,0.0862,1.3544,0.2427,1.542,1.121,37.9634,-28.053,15.2442,5.1501,0.0,12.27,0.816125522899006,5.3006,0.554661110083671,0.228415836879539,2.6232,,-29.5179996208792,0.4345,-12.9279725165949
ZWE_2017,13.62,24.2,85.5,44.0,44.8020129784135,45.4376903721361,52.5493312144087,22.9108727320885,0.0,0.0,0.635677393722686,55.1814329227917,198750000.0,2.632101708383,82.0,16.927992063702,8.29778231104355,22.2271727002231,5.54,0.0,120.514128054323,46.6239461939003,542.717959083427,416.196232814442,2,,386892745.476482,2.4810749289854,283331014.970047,1.81695181950343,51074726484.0037,25619900.0,4.7344112255433,14812482.0,253,,,43.1307,27.8865,1.88263519915163,8.1685,0.069,1.325,0.2132,1.2378,0.7402,37.9634,-28.053,15.2442,5.1501,0.0,10.5854,0.714627028745081,5.0041,0.502482291399502,0.206927998052453,1.9961,,-39.1947704308765,0.3836,-18.8118667753581
ZWE_2016,14.18,21.9,85.5,42.5,53.9746066795473,56.7761523599227,41.1951421473917,22.4261661606404,0.0,0.0,2.80154568037538,41.4481093016837,18330000.0,0.252967154292023,81.7,6.608939919578,7.90507934040195,20.5155264856758,4.15,0.0,126.500944132099,45.6864859849935,511.77051640193,423.185508873165,3,,395745344.643041,2.1982686643552,349918697.664446,1.94371284099768,20548759858.0924,8223700.0,0.755794054371208,14600294.0,254,,,43.6507,28.4065,1.94561150617926,8.2464,0.1173,1.2096,0.2858,1.24,0.6297,37.9634,-28.053,15.2442,5.1501,0.0,11.2663,0.771648844879425,5.9458,0.560124016318005,0.230665524619719,1.8381,,-35.2835076714516,0.3419,-17.2979503901246
ZWE_2015,14.59,10.9,81.2,33.7,46.7717021933889,47.2968798270003,51.3850272886418,17.0322314900628,0.0,0.0,0.525177633611368,54.0249201935949,256360000.0,2.63989290495315,80.8,5.83502022597474,7.42236673954062,18.2951536694899,6.57,51.1764658138404,134.727915648896,42.7813373122101,552.537871866634,453.579542968744,4,,432226150.205115,2.45514972118724,337453485.105617,1.91681791922481,19963058858.4528,7989300.0,1.77985354092071,14399013.0,255,,,45.4495,30.2053,2.09773405996647,8.2616,0.1181,1.2747,0.3175,1.0947,0.7821,37.9634,-28.053,15.2442,5.1501,0.0,12.6895,0.881275681881807,6.7615,0.635649080132177,0.261767616226416,2.3409,,-27.1082849379908,0.2997,-12.0609642482823
ZWE_2014,14.69,7.7,83.4,32.3,43.8316545327615,44.4001196768724,54.1637578537948,16.4455968884013,0.0,0.0,0.568465144110901,56.7689239054553,261220000.0,2.60516605166052,80.8,5.54696996237338,7.28252918345268,18.1585780491634,7.14,50.211432275829,137.314932053028,42.3009922540638,582.726177328242,460.332017093667,5,,406742741.470713,2.35105537285592,319096218.237038,1.84444072838658,19495547522.9895,7802200.0,2.37698570395052,14207359.0,256,,,44.3672,29.123,2.04985317820152,7.4394,0.0918,1.0276,0.3145,1.0425,0.7971,37.9634,-28.053,15.2442,5.1501,0.0,12.5977,0.886702447654064,6.7737,0.642282362659844,0.264499278411253,2.5505,,-27.6356074836145,0.2712,-15.2119482939327
ZWE_2013,14.79,18.9,85.5,40.6,45.4308093994778,46.088772845953,52.177545691906,17.7859007832898,0.0,0.0,0.657963446475196,54.8084595300261,251910000.0,2.6309138381201,79.3,5.34775110808274,7.17222096239677,20.5639652842472,6.62,50.6237009805682,139.426825420312,41.9531109040898,599.266095268324,462.865283072286,6,,396955732.061063,2.30508491713562,291299183.126761,1.69154719069817,19091004042.4363,7640300.0,1.98948553969423,14013808.0,257,,,46.5738,31.3296,2.23562360780168,9.3615,0.0994,1.0624,0.2769,1.0167,0.7061,37.9634,-28.053,15.2442,5.1501,0.0,12.7159,0.907383631915037,6.717,0.663718887673146,0.273327086439769,2.8374,,-26.9566366242166,0.2488,-8.78770234074764
ZWE_2012,14.61,23.8,85.4,44.0,39.0270387664241,39.6459984797481,58.5296992072972,19.2529047670757,0.0,0.0,0.618959713323922,61.2485611901401,250380000.0,2.71886198284287,77.0,4.99561176464518,7.25996922289953,19.2453461364474,7.38,49.6550109548727,137.741630755924,42.4551719943283,577.801801389749,454.708020211244,7,,373151290.079991,2.4475545644344,251718132.825411,1.65105650530023,17114762913.5326,6849400.0,16.665428979757,13817887.0,258,,,46.368,31.1238,2.25242831990159,9.2808,0.0691,1.6142,0.2703,1.9227,0.8038,37.9634,-28.053,15.2442,5.1501,0.0,12.74,0.921993355424024,5.5053,0.678206428333622,0.279293222633796,2.5546,,-26.8182000953546,0.2421,-9.38686386398043
ZWE_2011,16.48,14.1,83.2,36.9,41.5476190476191,42.2943722943723,56.2878787878788,17.7056277056277,0.0,0.0,0.746753246753247,57.0613636363636,71470000.0,0.773484848484849,77.2,4.48153606725219,6.46550594312965,18.2917966744342,7.39,48.3020031786397,154.666936941357,44.0586121094831,603.511887529216,444.80696274803,8,,340341891.867854,2.719394215565,223176852.681682,1.7832240365703,14101801030.5739,5643600.0,14.193915731251,13595424.0,259,,,49.2525,34.0083,2.50145195912978,9.1852,0.0959,2.2314,0.21,1.4592,0.7119,37.9634,-28.053,15.2442,5.1501,0.0,15.8457,1.16551716224518,8.8828,0.984115530486982,0.405270116104635,2.2545,,-8.97826948594668,0.2374,-0.988994992430414
ZWE_2010,17.83,15.8,85.3,38.9,31.6261940384394,32.1786166417309,66.7395557601565,19.7491080676718,0.0,0.0,0.552422603291518,67.4465416043273,61430000.0,0.706985844170791,81.2,4.14482692818685,6.10310463223209,10.5915660855312,8.89,41.9078921106066,163.851033246053,47.640760372097,576.795740935457,420.028576465643,9,,274351139.805534,2.47730906120216,204474926.141218,1.84634766845631,12041602761.7901,4819100.0,19.6754076562536,13356548.0,260,,,42.7276,27.4834,2.05767238660768,8.7555,0.1082,2.3073,0.2466,1.2134,0.5915,37.9634,-28.053,15.2442,5.1501,0.0,10.065,0.753562971510303,4.2801,0.713824419223981,0.293961121733413,1.3179,,-42.1840803736063,0.2358,-19.9854431116804
