iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CHN,China,MtCO2e,3049.87,3196.90,3338.53,3581.08,3751.23,4148.03,4164.03,4154.19,4262.67,4195.59,4362.72,4557.76,4849.11,5512.24,6269.19,7038.18,7701.68,8289.28,8533.37,9095.23,9916.32,10408.90,10693.51,11175.26,11237.61,11085.85,11135.02,11376.55,11868.70,12109.18,12263.69,12852.14,12851.84
USA,United States,MtCO2e,5472.89,5424.70,5506.44,5615.49,5709.34,5777.03,5947.73,6206.91,6252.24,6251.79,6413.36,6378.39,6224.85,6292.14,6375.20,6395.62,6305.71,6408.93,6225.53,5807.83,6078.96,5861.49,5650.45,5795.20,5845.56,5735.74,5804.37,5755.15,5972.88,5851.35,5305.85,5591.52,5670.87
IND,India,MtCO2e,1126.56,1181.45,1208.14,1244.03,1293.11,1361.15,1410.07,1470.03,1499.21,1580.92,1620.92,1867.02,1885.83,1929.69,2019.20,2090.59,2188.97,2335.80,2450.97,2564.09,2680.84,2729.53,2884.20,2947.22,3134.57,3179.00,3247.88,3367.94,3506.66,3507.03,3326.20,3584.74,3805.03
RUS,Russia,MtCO2e,2618.14,2550.02,2382.89,2186.50,1952.47,1876.57,1832.29,1686.85,1693.84,1722.02,1781.41,1393.93,1396.64,1470.07,1469.16,1494.60,1528.99,1538.64,1538.59,1405.04,1487.68,1656.02,1647.28,1603.53,1596.32,1572.12,1697.90,1746.26,1840.91,1844.30,1759.19,1939.93,1886.05
BRA,Brazil,MtCO2e,1675.44,1696.97,1707.24,1717.63,1734.63,1761.52,1764.33,1796.60,1833.46,1845.11,1847.49,1942.16,1982.84,1999.09,2048.86,2066.93,2055.61,2095.14,2095.86,2069.71,2178.84,1339.37,1384.67,1410.09,1450.30,1437.66,1524.43,1550.01,1509.63,1533.43,1537.10,1598.81,1597.22
IDN,Indonesia,MtCO2e,1156.89,1178.43,1202.76,1221.44,1244.87,1282.12,1129.81,2128.37,1336.88,1223.30,1147.86,974.70,1471.27,1124.38,1479.12,1195.06,1625.05,1048.76,1030.94,1437.32,1068.54,1624.03,1643.27,1586.04,1966.06,2009.98,1363.67,1364.58,1617.58,1893.29,1449.43,1449.39,1543.17
JPN,Japan,MtCO2e,1127.24,1144.91,1158.86,1154.15,1214.57,1235.73,1248.74,1233.65,1181.90,1207.89,1218.28,1171.37,1197.54,1203.16,1188.72,1195.32,1175.11,1208.74,1138.46,1079.01,1136.30,1242.66,1285.84,1301.26,1254.19,1216.99,1222.75,1210.55,1171.48,1135.89,1079.76,1097.01,1068.05
IRN,Iran,MtCO2e,308.48,336.46,358.63,366.44,405.31,414.74,430.26,447.52,449.35,483.49,512.14,487.78,499.51,536.32,571.93,611.06,650.75,682.13,688.06,708.53,712.28,766.39,762.88,782.98,806.12,803.47,841.62,871.88,862.97,892.61,909.92,979.72,990.34
SAU,Saudi Arabia,MtCO2e,241.89,275.50,292.72,289.23,287.72,286.24,300.42,305.22,320.03,322.93,338.23,345.60,366.64,391.18,411.72,435.34,460.49,483.43,525.45,540.84,588.04,621.12,658.81,677.23,723.51,759.07,760.73,749.91,732.36,730.06,725.04,747.26,793.61
CAN,Canada,MtCO2e,634.47,630.19,644.00,640.28,658.16,673.97,695.07,706.90,724.19,723.86,741.76,967.22,988.61,1010.85,1000.65,1014.62,1004.80,1036.27,1014.14,979.44,997.85,847.36,847.87,861.61,870.02,866.02,761.76,779.21,799.14,790.71,734.20,746.07,760.62
COD,Democratic Republic of the Congo,MtCO2e,438.96,437.51,439.70,442.62,445.24,445.50,437.71,444.96,447.10,439.04,435.17,431.07,446.04,454.14,458.54,458.84,461.12,453.61,459.77,460.15,464.57,700.89,693.05,697.06,697.16,700.97,701.48,706.52,698.79,704.15,707.00,708.50,707.61
DEU,Germany,MtCO2e,1096.85,1071.77,1027.23,1019.71,1010.50,1007.87,1032.43,995.40,973.82,935.88,928.12,979.21,962.48,963.19,944.99,923.08,931.39,902.29,905.09,847.84,878.65,838.27,851.30,866.23,825.35,830.27,833.13,816.43,787.79,736.50,681.07,704.44,695.82
MEX,Mexico,MtCO2e,441.56,461.08,463.96,482.23,509.15,488.65,507.63,531.88,565.24,548.14,574.96,483.28,495.32,523.95,532.49,557.77,578.16,590.17,594.75,584.13,601.51,704.91,709.70,695.11,689.85,705.55,715.07,715.34,689.51,708.93,651.56,663.68,666.30
KOR,South Korea,MtCO2e,255.65,284.19,308.14,338.80,364.92,393.70,421.08,443.03,376.74,415.50,454.78,451.45,465.72,478.54,499.47,496.21,504.54,521.95,536.29,547.51,609.32,648.90,646.34,646.98,633.46,647.99,658.58,681.21,703.02,680.22,637.52,658.67,637.83
PAK,Pakistan,MtCO2e,199.06,203.56,217.26,231.11,239.67,254.19,265.07,275.20,282.38,299.03,304.86,311.22,321.17,334.03,354.73,367.07,390.08,410.63,415.62,430.71,427.38,437.74,444.41,459.15,474.51,490.55,516.10,542.07,539.06,543.79,578.89,595.65,606.92
AUS,Australia,MtCO2e,551.60,553.01,552.77,555.79,562.01,568.79,569.56,581.41,607.20,647.70,667.40,673.81,669.81,593.28,643.93,607.26,653.75,654.90,624.37,642.72,623.43,663.98,666.93,584.34,601.70,599.09,605.86,652.25,651.07,638.61,590.90,587.82,585.05
ZAF,South Africa,MtCO2e,355.84,351.87,348.01,358.84,365.63,379.18,392.73,409.97,418.31,397.06,395.36,426.53,442.61,465.39,494.66,494.28,496.43,517.89,549.03,526.18,549.13,510.63,531.54,543.02,555.04,529.01,526.26,538.71,543.12,548.06,525.06,517.59,499.16
TUR,Turkey,MtCO2e,189.59,191.83,199.39,205.88,200.95,215.56,233.24,242.19,243.08,243.01,267.09,219.18,229.45,240.66,246.54,259.44,287.93,318.18,315.80,318.38,328.45,334.78,350.48,341.57,366.85,374.36,433.41,472.31,473.89,463.31,474.98,512.90,494.89
VNM,Vietnam,MtCO2e,10.85,15.12,18.59,24.77,29.20,37.52,45.70,53.93,66.04,70.68,78.62,173.71,190.30,196.65,218.56,228.85,233.28,247.98,257.62,280.76,299.86,263.98,265.83,281.14,295.00,311.18,341.16,348.57,406.55,461.51,473.76,463.81,463.85
ARG,Argentina,MtCO2e,308.31,312.72,318.02,319.16,322.80,325.94,337.33,342.39,346.95,354.47,352.61,395.04,393.72,416.43,433.43,437.35,451.10,462.78,466.66,445.64,449.34,429.06,434.46,441.69,439.33,444.85,410.86,415.03,412.59,409.17,394.51,410.31,431.09
THA,Thailand,MtCO2e,179.57,191.20,203.79,221.42,236.69,253.98,273.11,281.73,260.96,270.83,269.81,236.67,250.98,262.68,286.76,295.56,299.45,317.63,319.45,316.56,340.01,370.96,394.27,401.98,397.81,397.98,415.85,419.24,411.58,420.36,414.29,405.55,418.66
GBR,United Kingdom,MtCO2e,775.82,785.11,768.41,750.89,749.06,741.92,763.15,743.24,737.11,707.80,706.57,716.17,697.87,705.29,697.61,690.81,686.97,670.91,649.25,592.84,605.00,564.20,583.99,567.74,527.11,511.97,488.48,477.77,470.22,455.40,411.52,429.65,417.70
MYS,Malaysia,MtCO2e,191.31,202.71,205.43,212.15,220.40,228.14,238.56,250.10,279.85,256.39,268.05,259.36,276.35,285.75,311.44,326.97,322.65,346.93,358.40,353.42,365.47,141.65,141.92,164.30,197.72,181.87,369.19,353.30,376.42,382.29,371.93,373.81,387.45
ITA,Italy,MtCO2e,450.88,448.23,445.40,439.47,434.69,460.03,456.20,460.39,471.67,479.04,485.13,483.71,493.23,512.95,525.27,526.76,515.85,509.05,494.36,444.96,454.57,444.20,425.98,394.33,374.36,384.28,402.00,397.79,395.11,386.00,348.34,382.54,384.40
NGA,Nigeria,MtCO2e,297.99,315.40,333.31,330.96,325.67,329.89,361.42,352.09,331.29,315.57,328.97,324.43,301.81,325.24,328.93,332.72,318.68,306.38,308.94,296.05,325.08,332.06,333.67,343.18,352.79,346.77,348.73,345.38,353.47,364.33,356.46,362.14,353.74
EGY,Egypt,MtCO2e,136.26,141.80,144.28,151.10,148.22,157.59,165.02,173.79,179.54,188.65,188.06,200.71,207.08,212.97,225.44,244.59,255.88,272.66,279.62,287.58,288.45,296.60,306.07,308.61,315.65,326.01,335.86,346.97,340.42,316.60,325.48,345.96,345.75
POL,Poland,MtCO2e,477.58,473.02,461.96,461.33,455.57,456.98,469.35,459.47,423.09,409.88,391.55,330.48,322.96,333.72,336.41,336.24,349.56,346.88,339.09,321.37,339.57,379.24,372.72,365.75,351.20,353.57,358.38,371.06,369.08,350.72,333.35,359.16,344.23
KAZ,Kazakhstan,MtCO2e,340.65,347.93,347.53,307.94,284.14,248.97,222.88,200.25,200.09,182.80,188.23,187.39,216.44,230.68,249.77,264.63,287.21,298.68,337.82,312.16,332.84,346.85,343.06,356.06,316.33,283.17,301.42,324.40,327.27,316.90,318.77,339.41,338.98
FRA,France,MtCO2e,480.38,506.25,490.69,469.86,463.18,470.75,489.65,480.01,496.84,487.92,486.45,449.55,441.70,446.44,445.06,446.06,436.56,429.61,423.82,405.68,409.35,396.90,400.01,399.96,365.98,371.40,371.07,375.93,361.18,352.11,314.06,343.39,332.60
IRQ,Iraq,MtCO2e,99.82,57.44,82.37,109.42,125.01,123.59,122.26,151.15,134.61,121.25,138.30,149.06,139.62,119.84,136.00,133.01,133.03,128.67,145.01,155.22,171.67,181.85,205.98,219.13,218.07,224.74,249.26,263.80,278.02,296.26,278.26,296.42,323.62
DZA,Algeria,MtCO2e,128.37,132.01,134.28,144.45,148.05,154.67,159.38,158.41,160.33,164.32,172.02,166.65,174.18,190.00,194.62,202.35,209.42,213.17,218.19,219.66,224.71,231.24,249.85,255.07,267.46,276.92,276.88,282.31,291.29,299.04,285.14,292.21,306.28
COL,Colombia,MtCO2e,225.35,226.50,229.98,235.06,237.92,242.83,243.23,249.77,251.86,240.01,244.15,234.25,231.55,234.56,237.05,239.38,240.75,248.76,252.86,258.70,266.60,248.38,247.32,256.89,260.09,258.45,289.72,286.91,295.55,298.23,292.40,303.52,300.94
ESP,Spain,MtCO2e,239.17,245.21,255.55,240.01,253.87,268.59,262.33,284.69,293.02,318.12,335.74,354.40,369.40,378.91,393.91,408.44,402.74,418.81,384.99,348.95,334.13,344.62,337.83,311.15,309.40,320.33,304.33,319.42,312.05,294.44,255.11,272.25,274.82
VEN,Venezuela,MtCO2e,487.24,509.60,512.95,523.41,532.83,567.01,604.10,628.74,627.31,598.12,618.50,567.47,542.86,521.57,554.25,578.87,575.82,570.32,587.49,570.56,570.88,587.94,618.44,619.88,611.98,585.83,484.90,441.77,385.12,324.61,240.16,241.59,267.66
BGD,Bangladesh,MtCO2e,121.26,121.46,124.11,125.86,129.31,134.88,136.30,139.16,139.90,144.57,146.41,152.75,156.36,158.81,160.51,165.45,171.32,174.35,182.70,187.19,194.33,200.25,204.79,209.28,213.81,221.46,228.74,238.08,241.92,246.24,242.74,258.14,262.09
PHL,Philippines,MtCO2e,103.35,103.14,106.29,112.63,120.58,133.06,141.94,149.91,143.21,149.56,150.78,150.26,151.99,154.88,158.39,159.81,153.88,160.44,164.27,167.60,173.50,175.15,179.98,190.78,197.88,206.55,216.97,233.65,239.48,246.15,235.96,246.22,253.07
ARE,United Arab Emirates,MtCO2e,82.98,91.95,90.94,95.59,105.08,109.90,114.56,118.01,120.05,120.70,121.78,135.44,137.20,146.12,154.96,164.79,172.34,182.51,207.91,206.06,213.45,220.49,230.51,242.32,244.46,255.30,261.61,251.33,234.43,246.52,242.06,244.12,245.26
TKM,Turkmenistan,MtCO2e,157.79,149.53,103.97,114.13,91.60,92.19,89.94,73.94,76.42,96.07,122.28,125.33,134.90,151.73,159.49,164.19,163.95,177.88,184.96,140.20,155.86,188.13,196.94,205.84,202.81,211.63,204.84,208.21,212.12,244.53,204.84,218.44,227.05
MMR,Myanmar,MtCO2e,213.13,212.32,216.07,219.40,222.66,226.18,222.35,220.00,226.78,232.32,229.12,208.00,207.85,222.16,236.87,227.12,231.48,242.82,227.90,238.92,244.37,213.48,222.58,225.04,232.77,239.23,231.96,245.65,222.34,222.50,231.83,224.49,215.08
ETH,Ethiopia,MtCO2e,101.54,102.37,103.64,97.83,99.32,100.53,103.86,108.49,114.80,116.11,112.82,120.31,129.01,128.00,130.71,134.83,140.77,151.94,156.57,161.28,167.11,168.12,174.53,179.54,185.31,188.36,194.33,196.61,199.49,211.43,219.58,213.94,215.00
PER,Peru,MtCO2e,106.70,105.39,106.68,108.23,110.18,115.19,118.95,119.94,121.26,125.51,126.20,129.40,131.38,131.43,135.42,137.31,136.63,140.65,145.75,149.98,154.81,182.79,182.51,184.61,188.78,190.23,193.69,191.10,191.60,194.84,184.48,197.68,202.62
